Date,sent,Ret,sent1,flag,sent2,sent3
2022-04-18 00:00:00+00:00,2.0,-0.011760024561220344,0.0,-1,0.0,0.0
2022-04-25 00:00:00+00:00,2.0,-0.10134568565976296,0.0,-1,0.0,0.0
2022-05-02 00:00:00+00:00,2.0,-0.17573348730735416,0.0,-1,0.0,0.0
2022-05-09 00:00:00+00:00,2.0,-0.24608626656487614,0.0,-1,0.0,0.0
2022-05-16 00:00:00+00:00,3.0,-0.10867136357851831,1.0,1,1.0,0.0
2022-05-23 00:00:00+00:00,2.0,-0.16101006875894225,-1.0,-1,0.0,1.0
2022-05-30 00:00:00+00:00,2.0,-0.15449941198960598,0.0,-1,0.0,0.0
2022-06-06 00:00:00+00:00,2.0,-0.2244813557014999,0.0,-1,0.0,0.0
2022-06-13 00:00:00+00:00,2.0,0.10783286252565552,0.0,-1,0.0,0.0
2022-06-20 00:00:00+00:00,2.0,0.14046709231816426,0.0,-1,0.0,0.0
2022-06-27 00:00:00+00:00,2.0,-0.16583645050719972,0.0,-1,0.0,0.0
2022-07-04 00:00:00+00:00,2.0,0.09457696037418699,0.0,-1,0.0,0.0
2022-07-11 00:00:00+00:00,1.0,0.051698604804425376,-1.0,-1,0.0,1.0
2022-07-18 00:00:00+00:00,1.0,0.05932243680679222,0.0,-1,0.0,0.0
2022-07-25 00:00:00+00:00,1.0,0.03342052332371791,0.0,-1,0.0,0.0
2022-08-01 00:00:00+00:00,1.0,-0.04324740452462499,0.0,-1,0.0,0.0
2022-08-08 00:00:00+00:00,2.0,0.1009009792305737,1.0,1,1.0,0.0
2022-08-15 00:00:00+00:00,1.0,-0.20658532396614693,-1.0,-1,0.0,1.0
2022-08-22 00:00:00+00:00,1.0,-0.18403258122065283,0.0,-1,0.0,0.0
2022-08-29 00:00:00+00:00,1.0,0.054883883385146236,0.0,-1,0.0,0.0
2022-09-05 00:00:00+00:00,1.0,0.08530233896546167,0.0,-1,0.0,0.0
2022-09-12 00:00:00+00:00,1.0,-0.11845892498775974,0.0,-1,0.0,0.0
2022-09-19 00:00:00+00:00,1.0,0.04024528060802167,0.0,-1,0.0,0.0
2022-09-26 00:00:00+00:00,1.0,-0.008686449484148082,0.0,-1,0.0,0.0
2022-10-03 00:00:00+00:00,1.0,0.026419586213829085,0.0,-1,0.0,0.0
2022-10-10 00:00:00+00:00,1.0,-0.08708493362908928,0.0,-1,0.0,0.0
2022-10-17 00:00:00+00:00,1.0,-0.030244089770159386,0.0,-1,0.0,0.0
2022-10-24 00:00:00+00:00,1.0,0.11890910497640926,0.0,-1,0.0,0.0
2022-10-31 00:00:00+00:00,1.0,-0.008601750714451205,0.0,-1,0.0,0.0
2022-11-07 00:00:00+00:00,1.0,-0.9093468776822281,0.0,-1,0.0,0.0
2022-11-14 00:00:00+00:00,3.0,-0.07176879852388261,2.0,1,4.0,0.0
2022-11-21 00:00:00+00:00,2.0,0.1415351604911674,-1.0,-1,0.0,1.0
2022-11-28 00:00:00+00:00,1.0,-0.02856757690801491,-1.0,-1,0.0,1.0
2022-12-05 00:00:00+00:00,1.0,-0.021396880770135893,0.0,-1,0.0,0.0
2022-12-12 00:00:00+00:00,1.0,-0.07857390877051207,0.0,-1,0.0,0.0
2022-12-19 00:00:00+00:00,1.0,-0.08620232911487107,0.0,-1,0.0,0.0
2022-12-26 00:00:00+00:00,1.0,-0.13175087170193767,0.0,-1,0.0,0.0
2023-01-02 00:00:00+00:00,1.0,0.3608516797069257,0.0,-1,0.0,0.0
2023-01-09 00:00:00+00:00,1.0,0.46831808737714403,0.0,-1,0.0,0.0
2023-01-16 00:00:00+00:00,2.0,0.05773610866338692,1.0,1,1.0,0.0
2023-01-23 00:00:00+00:00,1.0,0.07546875803347472,-1.0,-1,0.0,1.0
2023-01-30 00:00:00+00:00,1.0,-0.10645425367732926,0.0,-1,0.0,0.0
